cdm_values,source_values
EmploymentGroup.id,CDM Generated ID
EmploymentGroup.sourceId,Employment_Group__c.Id
EmploymentGroup.orgId,Employment_Group__c.Account__c
EmploymentGroup.employeeClass,Employment_Group__c.Class__c
EmploymentGroup.department,Employment_Group__c.Division__c
EmploymentGroup.location,Employment_Group__c.Location__c
EmploymentGroup.effectiveDate,Employment_Group__c.Effective_Date__c
EmploymentGroup.endDate,Employment_Group__c.End_Date__c
EmploymentGroup.isNotEligible,Employment_Group__c.Is_Not_Eligible__
EmploymentGroup.isDefault,Employment_Group__c.Default__
EmploymentGroup.contributionStrategy.Id,CDM Generated ID
EmploymentGroup.contributionStrategy.planId,CDM Generated ID
EmploymentGroup.contributionStrategy.sourceId,Contribution_Strategy__c.Id
EmploymentGroup.contributionStrategy.startDate,Contribution_Strategy__c.Start_Date__c
EmploymentGroup.contributionStrategy.endDate,Contribution_Strategy__c.End_Date__c
EmploymentGroup.contributionStrategy.contributionType,Contribution_Strategy__c.Contribution_Type__c
EmploymentGroup.contributionStrategy.frequency,Contribution_Strategy__c.Contribution_Frequency__c
EmploymentGroup.contributionStrategy.eeDeduction.tier,Contribution_Strategy__c.EE_EE_Contribution__c
EmploymentGroup.contributionStrategy.eeDeduction.deductionAmount,Contribution_Strategy__c.EC_EE_Contribution__c
,Contribution_Strategy__c.ES_EE_Contribution__c
,Contribution_Strategy__c.EF_EE_Contribution__c
EmploymentGroup.contributionStrategy.erContribution.tier,Contribution_Strategy__c.EE_ER_Contribution__c
EmploymentGroup.contributionStrategy.erContribution.contributionAmount,Contribution_Strategy__c.EC_ER_Contribution__c
EmploymentGroup.contributionStrategy.erContribution.hsaHraContributionAmount,Contribution_Strategy__c.ES_ER_Contribution__c
,Contribution_Strategy__c.EF_ER_Contribution__c
,Contribution_Strategy__c.EE_HSA_HRA_Contribution__c
,Contribution_Strategy__c.ES_HSA_HRA_Contribution__c
,Contribution_Strategy__c.EC_HSA_HRA_Contribution__c
,Contribution_Strategy__c.EF_HSA_HRA_Contribution__c
EmploymentGroup.contributionStrategy.employeeErPercent,Contribution_Strategy__c.Employee__c
EmploymentGroup.contributionStrategy.dependentErPercent,Contribution_Strategy__c.Dependent__c
EmploymentGroup.contributionStrategy.esErPercent,Contribution_Strategy__c.ES__c
EmploymentGroup.contributionStrategy.ecErPercent,Contribution_Strategy__c.EC__c
EmploymentGroup.contributionStrategy.efErPercent,Contribution_Strategy__c.EF__c
EmploymentGroup.contributionStrategy.employerCommuterContribution,Contribution_Strategy__c.Employer_Commuter_Contribution__c
EmploymentGroup.contributionStrategy.employerParkingContribution,Contribution_Strategy__c.Employer_Parking_Contribution__c
EmploymentGroup.contributionStrategy.employerTransitContribution,Contribution_Strategy__c.Employer_Transit_Contribution__c
